Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
01-01-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Pressed
02-01-16 00:00,Country_02,Local_02,Mining,I,IV,Male,Employee,Pressurized Systems
06-01-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Manual Tools
08-01-16 00:00,Country_01,Local_04,Mining,I,I,Male,Third Party,Others
10-01-16 00:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others
12-01-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressurized Systems
16-01-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Fall prevention (same level)
17-01-16 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Pressed
19-01-16 00:00,Country_02,Local_02,Mining,I,IV,Male,Third Party (Remote),Others
26-01-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Chemical substances
28-01-16 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
30-01-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
01-02-16 00:00,Country_02,Local_05,Metals,I,I,Male,Employee,Liquid Metal
02-02-16 00:00,Country_01,Local_01,Mining,IV,V,Male,Third Party,Electrical installation
04-02-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space
04-02-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Liquid Metal
06-02-16 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
07-02-16 00:00,Country_01,Local_06,Metals,I,II,Female,Third Party,Others
08-02-16 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Others
21-02-16 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others
25-02-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
09-02-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
10-02-16 00:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Others
15-02-16 00:00,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others
14-02-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
15-02-16 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools
13-02-16 00:00,Country_01,Local_01,Mining,I,I,Male,Employee,Others
15-02-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
16-02-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
16-02-16 00:00,Country_02,Local_07,Mining,II,III,Male,Employee,Others
17-02-16 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
19-02-16 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
21-02-16 00:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others
20-02-16 00:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Others
15-02-16 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
18-02-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed
22-02-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
24-02-16 00:00,Country_02,Local_07,Mining,I,V,Male,Employee,Others
24-02-16 00:00,Country_02,Local_07,Mining,I,V,Female,Third Party,Others
24-02-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
29-02-16 00:00,Country_02,Local_02,Mining,II,IV,Male,Employee,Others
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
26-02-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
27-02-16 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
02-03-16 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressed
02-03-16 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Blocking and isolation of energies
03-03-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
04-03-16 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools
05-03-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
06-03-16 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
06-03-16 00:00,Country_01,Local_03,Mining,III,IV,Male,Third Party (Remote),Others
09-03-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Third Party,Suspended Loads
11-03-16 00:00,Country_01,Local_03,Mining,III,V,Male,Third Party,Others
11-03-16 00:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Others
13-03-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
12-03-16 00:00,Country_02,Local_07,Mining,III,IV,Male,Employee,Others
14-03-16 00:00,Country_01,Local_06,Metals,II,III,Male,Third Party (Remote),Chemical substances
13-03-16 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
16-03-16 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
10-03-16 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Pressed
17-03-16 00:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
16-03-16 00:00,Country_02,Local_08,Metals,II,II,Male,Employee,Manual Tools
18-03-16 00:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others
19-03-16 00:00,Country_01,Local_01,Mining,I,III,Male,Employee,Others
14-03-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances
18-03-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Fall prevention (same level)
18-03-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances
22-03-16 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
22-03-16 00:00,Country_01,Local_01,Mining,IV,IV,Male,Third Party,Others
25-03-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
30-03-16 00:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
30-03-16 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
31-03-16 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others
31-03-16 00:00,Country_02,Local_08,Metals,I,III,Male,Third Party (Remote),Pressed
01-04-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
03-04-16 00:00,Country_01,Local_01,Mining,III,V,Male,Third Party,Others
02-04-16 00:00,Country_01,Local_01,Mining,I,III,Male,Employee,Others
01-04-16 00:00,Country_01,Local_01,Mining,I,V,Male,Third Party (Remote),Others
01-04-16 00:00,Country_01,Local_01,Mining,I,V,Male,Third Party (Remote),Others
10-03-16 00:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others
24-03-16 00:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Poll
22-03-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
31-03-16 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
04-04-16 00:00,Country_02,Local_09,Metals,III,IV,Male,Employee,Manual Tools
05-04-16 00:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level)
05-04-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Pressed
07-04-16 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
08-04-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
11-04-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
11-04-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
14-04-16 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressurized Systems
14-04-16 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
16-04-16 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
16-04-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
15-04-16 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
17-04-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Cut
18-04-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
21-04-16 00:00,Country_02,Local_02,Mining,I,V,Male,Employee,Others
22-04-16 00:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
23-04-16 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
22-04-16 00:00,Country_02,Local_05,Metals,II,IV,Male,Third Party,Pressurized Systems / Chemical Substances
26-04-16 00:00,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut
28-04-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances
29-04-16 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
30-04-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Pressed
30-04-16 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
30-04-16 00:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
01-05-16 00:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Others
02-05-16 00:00,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances
04-05-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools
03-05-16 00:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
04-05-16 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
04-05-16 00:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances
